policy,symbol,symbol_name,raw_symbols,candidate_ids,condition_name,candidate_role,join_key,join_status,would_buy,baseline_allowed,best_timestamp,last_evaluated_at,capture_price,current_price,pullback_pct,return_pct,trade_strength,volume_ratio,spread_rate,is_above_vwap,one_min_reversal,upper_wick_ratio,time_policy_reason_code,block_reason,missing_momentum_reason
pullback_0p5,000210,DL,000210,d8113a644ab646aab15a3b5fe51df1b3,단테떡상이_수정,trading,d8113a644ab646aab15a3b5fe51df1b3,candidate_id,False,False,2026-05-14 14:03:56,2026-05-14 14:04:05,62800,62700,0.0015923566878980893,-0.0015923566878981443,106.17,0.0019011406844106464,0.001594896331738437,False,False,0.3076923076923077,ALLOW_ENTRY,BLOCK_BELOW_VWAP_WEAK_FLOW,
pullback_0p8,000210,DL,000210,d8113a644ab646aab15a3b5fe51df1b3,단테떡상이_수정,trading,d8113a644ab646aab15a3b5fe51df1b3,candidate_id,False,False,2026-05-14 14:03:56,2026-05-14 14:04:05,62800,62700,0.0015923566878980893,-0.0015923566878981443,106.17,0.0019011406844106464,0.001594896331738437,False,False,0.3076923076923077,ALLOW_ENTRY,BLOCK_BELOW_VWAP_WEAK_FLOW,
pullback_1p0,000210,DL,000210,d8113a644ab646aab15a3b5fe51df1b3,단테떡상이_수정,trading,d8113a644ab646aab15a3b5fe51df1b3,candidate_id,False,False,2026-05-14 14:03:56,2026-05-14 14:04:05,62800,62700,0.0015923566878980893,-0.0015923566878981443,106.17,0.0019011406844106464,0.001594896331738437,False,False,0.3076923076923077,ALLOW_ENTRY,BLOCK_BELOW_VWAP_WEAK_FLOW,
pullback_1p5,000210,DL,000210,d8113a644ab646aab15a3b5fe51df1b3,단테떡상이_수정,trading,d8113a644ab646aab15a3b5fe51df1b3,candidate_id,False,False,2026-05-14 14:03:56,2026-05-14 14:04:05,62800,62700,0.0015923566878980893,-0.0015923566878981443,106.17,0.0019011406844106464,0.001594896331738437,False,False,0.3076923076923077,ALLOW_ENTRY,BLOCK_BELOW_VWAP_WEAK_FLOW,
breakout_small,000210,DL,000210,d8113a644ab646aab15a3b5fe51df1b3,단테떡상이_수정,trading,d8113a644ab646aab15a3b5fe51df1b3,candidate_id,False,False,2026-05-14 14:03:56,2026-05-14 14:04:05,62800,62700,0.0015923566878980893,-0.0015923566878981443,106.17,0.0019011406844106464,0.001594896331738437,False,False,0.3076923076923077,ALLOW_ENTRY,BLOCK_BELOW_VWAP_WEAK_FLOW,
pullback_0p5,000240,한국앤컴퍼니,000240,,단테떡상이_수정,analysis_only,000240,symbol,False,False,,,,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,analysis_only_not_registered
pullback_0p8,000240,한국앤컴퍼니,000240,,단테떡상이_수정,analysis_only,000240,symbol,False,False,,,,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,analysis_only_not_registered
pullback_1p0,000240,한국앤컴퍼니,000240,,단테떡상이_수정,analysis_only,000240,symbol,False,False,,,,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,analysis_only_not_registered
pullback_1p5,000240,한국앤컴퍼니,000240,,단테떡상이_수정,analysis_only,000240,symbol,False,False,,,,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,analysis_only_not_registered
breakout_small,000240,한국앤컴퍼니,000240,,단테떡상이_수정,analysis_only,000240,symbol,False,False,,,,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,analysis_only_not_registered
