theme_name,code,role,name,market,first_detected_at,last_detected_at,detected_count,condition_names
,000210,,DL,,2026-05-19 14:46:20,2026-05-19 14:46:20,1,단테떡상이_수정
,000370,,한화손해보험,KOSPI,2026-05-19 09:06:20,2026-05-19 09:06:21,3,단테떡상이;단테떡상이_수정
,001040,,CJ,,2026-05-19 14:38:42,2026-05-19 14:39:19,7,단테떡상이;단테떡상이_수정
,001450,,현대해상,KOSPI,2026-05-19 09:09:33,2026-05-19 09:19:54,7,단테떡상이_수정
,003160,,디아이,KOSPI,2026-05-19 09:19:45,2026-05-19 09:21:11,3,단테떡상이_수정
,003280,,흥아해운,KOSPI,2026-05-19 09:00:42,2026-05-19 10:33:58,52,단테떡상이;단테떡상이_수정
,003490,,대한항공,KOSPI,2026-05-19 09:18:40,2026-05-19 09:23:05,8,단테떡상이_수정
,004170,,신세계,,2026-05-19 14:44:25,2026-05-19 14:44:25,1,단테떡상이_수정
,005010,,휴스틸,KOSPI,2026-05-19 13:41:16,2026-05-19 14:37:27,15,단테떡상이_수정
,005290,,동진쎄미켐,KOSDAQ,2026-05-19 09:04:33,2026-05-19 09:05:44,6,단테떡상이;단테떡상이_수정
,005430,,한국공항,KOSPI,2026-05-19 14:01:26,2026-05-19 14:01:26,2,단테떡상이_수정
,005500,,삼진제약,KOSPI,2026-05-19 09:07:59,2026-05-19 09:47:29,5,단테떡상이;단테떡상이_수정
,005880,,대한해운,KOSPI,2026-05-19 09:23:25,2026-05-19 09:28:39,6,단테떡상이_수정
,005930,,삼성전자,,2026-05-19 14:29:33,2026-05-19 14:29:33,1,단테떡상이_수정
,005950,,이수화학,,2026-05-19 14:37:51,2026-05-19 14:38:07,5,단테떡상이_수정
,006340,,대원전선,KOSPI,2026-05-19 09:00:26,2026-05-19 09:02:27,8,단테떡상이_수정
,007390,,네이처셀,KOSDAQ,2026-05-19 09:09:02,2026-05-19 09:09:02,3,단테떡상이;단테떡상이_수정
,007610,,선도전기,KOSPI,2026-05-19 09:02:24,2026-05-19 09:05:55,8,단테떡상이;단테떡상이_수정
,015760,,한국전력,KOSPI,2026-05-19 09:00:40,2026-05-19 09:08:08,6,단테떡상이;단테떡상이_수정
,019210,,와이지-원,,2026-05-19 14:41:52,2026-05-19 14:43:12,2,단테떡상이_수정
,021880,,메이슨캐피탈,,2026-05-19 09:06:39,2026-05-19 09:09:34,3,단테떡상이
,025560,,미래산업,,2026-05-19 10:39:24,2026-05-19 10:39:24,1,단테떡상이_수정
,027360,,아주IB투자,KOSDAQ,2026-05-19 09:06:43,2026-05-19 09:18:51,22,단테떡상이;단테떡상이_수정
,028050,,삼성E&A,KOSPI,2026-05-19 09:01:37,2026-05-19 14:42:09,7,단테떡상이_수정
,028670,,팬오션,,2026-05-19 14:30:35,2026-05-19 14:38:38,18,단테떡상이_수정
,031210,,서울보증보험,,2026-05-19 12:24:04,2026-05-19 12:24:55,3,단테떡상이_수정
,032500,,케이엠더블유,KOSDAQ,2026-05-19 09:04:11,2026-05-19 09:09:26,13,단테떡상이;단테떡상이_수정
,033160,,엠케이전자,KOSDAQ,2026-05-19 09:10:37,2026-05-19 14:18:44,36,단테떡상이;단테떡상이_수정
,033500,,동성화인텍,KOSDAQ,2026-05-19 09:58:55,2026-05-19 09:58:55,2,단테떡상이_수정
,035720,,카카오,KOSPI,2026-05-19 09:03:26,2026-05-19 09:14:13,6,단테떡상이_수정
,035810,,이지홀딩스,KOSDAQ,2026-05-19 14:11:02,2026-05-19 14:33:13,3,단테떡상이_수정
,035900,,JYP Ent.,,2026-05-19 14:43:54,2026-05-19 14:44:31,2,단테떡상이_수정
,036540,,SFA반도체,KOSDAQ,2026-05-19 09:02:39,2026-05-19 09:03:05,6,단테떡상이;단테떡상이_수정
,036930,,주성엔지니어링,KOSDAQ,2026-05-19 09:00:24,2026-05-19 09:05:55,11,단테떡상이_수정
,037270,,YG PLUS,,2026-05-19 14:42:55,2026-05-19 14:43:49,8,단테떡상이
,037440,,희림,,2026-05-19 14:38:39,2026-05-19 14:43:58,5,단테떡상이_수정
,039980,,폴라리스AI,,2026-05-19 12:22:58,2026-05-19 12:23:59,5,단테떡상이;단테떡상이_수정
,042660,,한화오션,KOSPI,2026-05-19 09:02:17,2026-05-19 09:03:45,4,단테떡상이_수정
,046970,,우리로,KOSDAQ,2026-05-19 09:06:36,2026-05-19 09:06:37,4,단테떡상이;단테떡상이_수정
,047040,,대우건설,KOSPI,2026-05-19 09:01:09,2026-05-19 09:02:04,9,단테떡상이;단테떡상이_수정
,047810,,한국항공우주,KOSPI,2026-05-19 09:08:54,2026-05-19 14:39:45,5,단테떡상이_수정
,052900,,KX하이텍,,2026-05-19 11:47:41,2026-05-19 14:39:44,50,단테떡상이;단테떡상이_수정
,058430,,포스코스틸리온,,2026-05-19 14:29:30,2026-05-19 14:34:11,2,단테떡상이_수정
,064350,,현대로템,KOSPI,2026-05-19 09:08:57,2026-05-19 09:08:57,2,단테떡상이_수정
,064400,,LG씨엔에스,KOSPI,2026-05-19 09:03:21,2026-05-19 09:03:21,2,단테떡상이_수정
,064550,,바이오니아,,2026-05-19 10:48:23,2026-05-19 12:24:58,18,단테떡상이;단테떡상이_수정
,066430,,아이로보틱스,KOSDAQ,2026-05-19 09:01:31,2026-05-19 09:01:43,6,단테떡상이_수정
,078350,,한양디지텍,,2026-05-19 14:28:36,2026-05-19 14:34:16,5,단테떡상이;단테떡상이_수정
,078600,,대주전자재료,KOSDAQ,2026-05-19 09:04:28,2026-05-19 09:06:31,6,단테떡상이;단테떡상이_수정
,078890,,가온그룹,KOSDAQ,2026-05-19 09:03:24,2026-05-19 09:07:42,10,단테떡상이;단테떡상이_수정
,078930,,GS,KOSPI,2026-05-19 13:58:03,2026-05-19 14:04:30,13,단테떡상이_수정
,079550,,LIG디펜스앤에어로스페이스,KOSPI,2026-05-19 09:12:58,2026-05-19 09:19:02,3,단테떡상이_수정
