mode,symbol,symbol_name,condition_name,strategy_name,candidate_id,source_event,candidate_lifecycle,join_quality,detected_at,capture_price,traded,final_decision,final_reason,blocked_by,reason_code,decision_trace,entry_time,exit_time,entry_price,exit_price,realized_pnl,realized_pnl_pct,close_price,return_to_close_pct,high_after_signal,low_after_signal,mfe_pct,mae_pct,time_to_high_min,time_to_low_min,return_after_5m,return_after_10m,return_after_30m,return_after_60m,volume_ratio,turnover_speed_per_min,trade_strength,spread_rate,vwap,chase_risk_score,high_distance_pct,upper_wick_ratio,time_policy_reason,order_guard_reason,data_quality,missed_opportunity,review_category
paper,049080,기가레인,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:34:27,2070.0,False,,,,,{},,,,,,,2015.0,-0.02657004830917875,2175.0,1968.0,0.050724637681159424,-0.049275362318840554,11.0,311.0,-0.012077294685990392,0.02898550724637672,-0.009661835748792313,0.0,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,True,MISSED_OPPORTUNITY
paper,059090,미코,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:38:05,23100.0,False,,,,,{},,,,,,,24800.0,0.07359307359307365,25000.0,22550.0,0.08225108225108224,-0.023809523809523836,283.0,30.0,0.008658008658008587,0.0021645021645022577,-0.015151515151515138,0.04112554112554112,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,True,MISSED_OPPORTUNITY
paper,059090,미코,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:38:09,,False,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_capture_price;missing_decision_trace;missing_market_metrics;missing_mfe_mae;partial_data,False,DATA_QUALITY_BLOCK
paper,067310,하나마이크론,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:43:55,42000.0,False,,,,,{},,,,,,,43750.0,0.04166666666666674,43900.0,41150.0,0.0452380952380953,-0.020238095238095277,335.0,17.0,-0.0011904761904761862,-0.011904761904761862,-0.0071428571428571175,0.02261904761904754,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,False,DATA_QUALITY_BLOCK
paper,004710,한솔테크닉스,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:43:59,15530.0,False,,,,,{},,,,,,,14820.0,-0.04571796522858984,15870.0,14350.0,0.021893110109465486,-0.07598197037990984,46.0,329.0,-0.02124919510624601,-0.010302640051513157,-0.010946555054732743,-0.010946555054732743,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,False,DATA_QUALITY_BLOCK
paper,251630,브이원텍,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:49:01,6320.0,False,,,,,{},,,,,,,7150.0,0.13132911392405067,7360.0,6260.0,0.16455696202531644,-0.009493670886076,236.0,3.0,0.012658227848101333,0.02215189873417711,0.011075949367088667,0.08069620253164556,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,True,MISSED_OPPORTUNITY
paper,056360,코위버,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:49:45,12550.0,False,,,,,{},,,,,,,11710.0,-0.06693227091633469,12880.0,11580.0,0.026294820717131406,-0.07729083665338643,2.0,183.0,0.0023904382470119057,-0.014342629482071767,-0.033466135458167345,-0.047808764940239,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,False,DATA_QUALITY_BLOCK
paper,056360,코위버,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:51:35,,False,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_capture_price;missing_decision_trace;missing_market_metrics;missing_mfe_mae;partial_data,False,DATA_QUALITY_BLOCK
paper,464080,에스오에스랩,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:51:47,16850.0,False,,,,,{},,,,,,,16760.0,-0.005341246290801238,17240.0,16640.0,0.02314540059347192,-0.012462908011869445,23.0,328.0,-0.0017804154302670794,-0.0005934718100890635,0.0017804154302669684,0.0017804154302669684,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,False,DATA_QUALITY_BLOCK
paper,081150,티플랙스,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:52:18,4540.0,False,,,,,{},,,,,,,4295.0,-0.05396475770925113,4665.0,4140.0,0.02753303964757703,-0.08810572687224671,3.0,29.0,-0.00770925110132159,-0.008810572687224627,-0.07488986784140972,-0.07158590308370039,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,False,DATA_QUALITY_BLOCK
paper,204320,HL만도,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:54:50,61200.0,False,,,,,{},,,,,,,63300.0,0.03431372549019618,64500.0,60900.0,0.05392156862745101,-0.004901960784313708,257.0,0.0,0.008169934640522847,0.006535947712418277,0.016339869281045694,0.02777777777777768,,,,,,,,,,,missing_decision_trace;missing_market_metrics;partial_data,True,MISSED_OPPORTUNITY
paper,204320,HL만도,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:54:55,,False,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_capture_price;missing_decision_trace;missing_market_metrics;missing_mfe_mae;partial_data,False,DATA_QUALITY_BLOCK
paper,081150,티플랙스,단테떡상이,,,condition_detected,missing,missing_join,2026-05-13 09:55:27,,False,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_capture_price;missing_decision_trace;missing_market_metrics;missing_mfe_mae;partial_data,False,DATA_QUALITY_BLOCK
