symbol,symbol_name,detected_at,review_category,missed_opportunity,mfe_pct,mae_pct,return_to_close_pct,time_to_high_min,final_decision,reason_code,block_source,missed_reason_detail,recoverable,would_have_passed_if_time_policy_relaxed,would_have_passed_if_order_guard_relaxed,blocked_after_buy_ready,order_guard_rule,order_guard_recoverable,time_bucket,sector_name,primary_theme,theme_names
439960,코스모로보틱스,2026-05-19 10:01:05,ORDER_GUARD_BLOCK,True,0.2590673575129534,-0.011658031088082943,0.2590673575129534,219.0,BUY,FINAL_BUY_READY,order_guard,position_limit,True,False,True,True,position_limit,True,09:30~10:30,의료/정밀기기,,
274090,켄코아에어로스페이스,2026-05-19 09:00:31,ORDER_GUARD_BLOCK,True,0.23177570093457933,-0.024299065420560706,0.06355140186915897,15.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,운송장비/부품,,
005500,삼진제약,2026-05-19 09:47:29,ORDER_GUARD_BLOCK,True,0.16930022573363424,-0.04288939051918739,0.1151241534988714,240.0,BUY,FINAL_BUY_READY,order_guard,position_limit,True,False,True,True,position_limit,True,09:30~10:30,제약,,
027360,아주IB투자,2026-05-19 09:06:43,ORDER_GUARD_BLOCK,True,0.1322360953461974,-0.04086265607264472,-0.0192962542565267,18.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,금융,,
456010,아이씨티케이,2026-05-19 09:07:36,ORDER_GUARD_BLOCK,True,0.13111111111111118,-0.040000000000000036,0.13111111111111118,27.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,전기/전자,,
478340,나라스페이스테크놀로지,2026-05-19 09:02:23,ORDER_GUARD_BLOCK,True,0.10549777117384851,-0.09361069836552749,-0.09361069836552749,14.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,운송장비/부품,,
086960,MDS테크,2026-05-19 10:12:50,ORDER_GUARD_BLOCK,True,0.09224011713030755,-0.030746705710102518,0.01024890190336758,17.0,BUY,FINAL_BUY_READY,order_guard,position_limit,True,False,True,True,position_limit,True,09:30~10:30,IT 서비스,소프트웨어_자동차용,소프트웨어_자동차용;자동차_전장화 수혜
033160,엠케이전자,2026-05-19 13:52:09,ORDER_GUARD_BLOCK,True,0.06300484652665594,-0.02746365105008075,0.037156704361873905,36.0,BUY,FINAL_PAPER_ONLY_STRATEGY,order_guard,position_limit,True,False,True,True,position_limit,True,13:00~14:20,전기/전자,반도체_후공정소재,반도체_후공정소재
032500,케이엠더블유,2026-05-19 09:04:11,ORDER_GUARD_BLOCK,True,0.056488549618320505,-0.05038167938931293,-0.02442748091603053,4.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,전기/전자,네트워크/광통신,네트워크/광통신;통신장비
272210,한화시스템,2026-05-19 09:03:21,ORDER_GUARD_BLOCK,True,0.05360443622920519,-0.0406654343807763,-0.037892791127541625,28.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,전기/전자,,
005290,동진쎄미켐,2026-05-19 09:04:33,ORDER_GUARD_BLOCK,True,0.050434782608695716,-0.02608695652173909,0.0017391304347826875,32.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,화학,반도체_전공정소재,LCD_소재;반도체_전공정소재
088350,한화생명,2026-05-19 09:02:47,ORDER_GUARD_BLOCK,False,0.045840407470288724,-0.039049235993208864,-0.015280135823429575,11.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,보험,보험_생명보험,보험_생명보험
003280,흥아해운,2026-05-19 09:54:31,ORDER_GUARD_BLOCK,False,0.03484320557491283,-0.1428571428571429,-0.10801393728222997,37.0,BUY,FINAL_BUY_READY,order_guard,position_limit,False,False,False,True,position_limit,False,09:30~10:30,운송/창고,운송_해운,운송_해운
218410,RFHIC,2026-05-19 09:08:18,ORDER_GUARD_BLOCK,False,0.016617790811339184,-0.09872922776148585,-0.08211143695014667,3.0,,max_position_size_exceeded,order_guard,position_limit,False,False,False,False,position_limit,False,09:00~09:30,전기/전자,,
