mode,symbol,symbol_name,condition_name,strategy_name,candidate_id,candidate_role,source_event,candidate_lifecycle,join_quality,detected_at,capture_price,current_price,traded,final_decision,final_reason,blocked_by,reason_code,decision_trace,entry_time,exit_time,entry_reason,exit_reason,exit_reason_code,exit_type,stop_reason,exit_policy_source,sell_retry_count,unfilled_exit_qty,sell_order_result,exit_order_no,exit_decision_trace,entry_price,exit_price,realized_pnl,realized_pnl_pct,close_price,return_to_close_pct,high_after_signal,low_after_signal,mfe_pct,mae_pct,time_to_high_min,time_to_low_min,return_after_5m,return_after_10m,return_after_30m,return_after_60m,volume_ratio,turnover_speed_per_min,turnover_rank_sector,trade_strength,spread_rate,vwap,prior_high,prior_high_source,chase_risk_score,high_distance_pct,upper_wick_ratio,candle_cache_available,market_data_available,orderbook_available,one_min_reversal,entry_type,position_size_multiplier,market_regime,market_gate_action,market_gate_reason,sector_regime,sector_gate_action,sector_gate_reason,theme_regime,theme_gate_action,theme_gate_reason,time_policy_reason,time_policy_source,order_guard_reason,data_quality,missed_opportunity,review_category
live,006800,미래에셋증권,단테떡상이,퀀트조건식,060ea1b70e274c2d874d53891c6b221c,analysis_only,condition_detected,expired;refreshed;registered,exact_candidate_id,2026-05-15 09:00:07,75600.0,76500.0,False,BLOCKED,Momentum decision is not BUY: BLOCK_CHASE upper wick pressure 36% > 30%,momentum,FINAL_MOMENTUM_BLOCK_UPPER_WICK,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: BLOCK_CHASE upper wick pressure 36% > 30%"",""legacy_decision"":{""reason"":""pullback shallow 1.16% < 1.50%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_SHALLOW"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""BLOCK_CHASE"",""chase_risk_score"":44.773965141612166,""reason"":""upper wick pressure 36% > 30%"",""reason_code"":""BLOCK_UPPER_WICK""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":false,""trigger_price"":75222},""0.0080"":{""passes"":false,""trigger_price"":74995},""0.0100"":{""passes"":false,""trigger_price"":74844},""0.0150"":{""passes"":false,""trigger_price"":74466}},""pullback_pct"":-0.011904761904761904,""reason_code"":""FINAL_MOMENTUM_BLOCK_UPPER_WICK"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,69900.0,-0.07539682539682535,77400.0,67600.0,0.023809523809523725,-0.10582010582010581,1.0,364.0,-0.007936507936507908,-0.0092592592592593,-0.022486772486772444,-0.03835978835978837,1.0,4791894379.789087,0.0,173.53,0.00130718954248366,76492.67479556781,77400.0,candle,44.773965141612166,0.011904761904761862,0.36,True,True,True,True,,0.0,,,,,,,,,,ALLOW_ENTRY,,,ok,False,GOOD_REJECT
live,006800,미래에셋증권,단테떡상이_수정,퀀트조건식,060ea1b70e274c2d874d53891c6b221c,trading,condition_detected,expired;refreshed;registered,exact_candidate_id;fallback_symbol_time,2026-05-15 09:00:07,75600.0,76500.0,False,BLOCKED,Momentum decision is not BUY: BLOCK_CHASE upper wick pressure 36% > 30%,momentum,FINAL_MOMENTUM_BLOCK_UPPER_WICK,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: BLOCK_CHASE upper wick pressure 36% > 30%"",""legacy_decision"":{""reason"":""pullback shallow 1.16% < 1.50%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_SHALLOW"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""BLOCK_CHASE"",""chase_risk_score"":44.773965141612166,""reason"":""upper wick pressure 36% > 30%"",""reason_code"":""BLOCK_UPPER_WICK""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":false,""trigger_price"":75222},""0.0080"":{""passes"":false,""trigger_price"":74995},""0.0100"":{""passes"":false,""trigger_price"":74844},""0.0150"":{""passes"":false,""trigger_price"":74466}},""pullback_pct"":-0.011904761904761904,""reason_code"":""FINAL_MOMENTUM_BLOCK_UPPER_WICK"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,69900.0,-0.07539682539682535,77400.0,67600.0,0.023809523809523725,-0.10582010582010581,1.0,364.0,-0.007936507936507908,-0.0092592592592593,-0.022486772486772444,-0.03835978835978837,1.0,4791894379.789087,0.0,173.53,0.00130718954248366,76492.67479556781,77400.0,candle,44.773965141612166,0.011904761904761862,0.36,True,True,True,True,,0.0,,,,,,,,,,ALLOW_ENTRY,evaluate_time_filter,,ok,False,GOOD_REJECT
live,027360,아주IB투자,단테떡상이_수정,퀀트조건식,10bdc09b81f54052919bc1b2516fc800,trading,condition_detected,expired;refreshed;registered,exact_candidate_id,2026-05-15 09:00:08,16610.0,16420.0,False,WAIT,Momentum decision is not BUY: WAIT_PULLBACK leader score wait 69.1 < 70.0,momentum,FINAL_MOMENTUM_WAIT_LEADER_SCORE,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: WAIT_PULLBACK leader score wait 69.1 < 70.0"",""legacy_decision"":{""reason"":""pullback too deep 3.41% > 3.00%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_TOO_DEEP"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""WAIT_PULLBACK"",""chase_risk_score"":100.0,""reason"":""leader score wait 69.1 < 70.0"",""reason_code"":""WAIT_LEADER_SCORE""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":true,""trigger_price"":16526},""0.0080"":{""passes"":true,""trigger_price"":16477},""0.0100"":{""passes"":true,""trigger_price"":16443},""0.0150"":{""passes"":false,""trigger_price"":16360}},""pullback_pct"":0.011438892233594221,""reason_code"":""FINAL_MOMENTUM_WAIT_LEADER_SCORE"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,14310.0,-0.13847080072245632,17000.0,13900.0,0.023479831426851394,-0.16315472606863335,0.0,363.0,-0.021071643588199906,-0.019265502709211346,-0.06321493076459961,-0.07405177603853097,1.251560667398131,2045674488.028781,0.0,107.95,0.001218026796589525,16717.830024855568,17000.0,candle,100.0,0.0,0.8529411764705882,True,True,True,True,,0.0,,,,,,,,,,ALLOW_ENTRY,,,ok,False,GOOD_REJECT
live,027360,아주IB투자,단테떡상이,퀀트조건식,10bdc09b81f54052919bc1b2516fc800,trading,condition_detected,expired;refreshed;registered,exact_candidate_id;fallback_symbol_time,2026-05-15 09:00:08,16610.0,16420.0,False,WAIT,Momentum decision is not BUY: WAIT_PULLBACK leader score wait 69.1 < 70.0,momentum,FINAL_MOMENTUM_WAIT_LEADER_SCORE,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: WAIT_PULLBACK leader score wait 69.1 < 70.0"",""legacy_decision"":{""reason"":""pullback too deep 3.41% > 3.00%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_TOO_DEEP"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""WAIT_PULLBACK"",""chase_risk_score"":100.0,""reason"":""leader score wait 69.1 < 70.0"",""reason_code"":""WAIT_LEADER_SCORE""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":true,""trigger_price"":16526},""0.0080"":{""passes"":true,""trigger_price"":16477},""0.0100"":{""passes"":true,""trigger_price"":16443},""0.0150"":{""passes"":false,""trigger_price"":16360}},""pullback_pct"":0.011438892233594221,""reason_code"":""FINAL_MOMENTUM_WAIT_LEADER_SCORE"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,14310.0,-0.13847080072245632,17000.0,13900.0,0.023479831426851394,-0.16315472606863335,0.0,363.0,-0.021071643588199906,-0.019265502709211346,-0.06321493076459961,-0.07405177603853097,1.251560667398131,2045674488.028781,0.0,107.95,0.001218026796589525,16717.830024855568,17000.0,candle,100.0,0.0,0.8529411764705882,True,True,True,True,,0.0,,,,,,,,,,ALLOW_ENTRY,evaluate_time_filter,,ok,False,GOOD_REJECT
live,319400,현대무벡스,단테떡상이_수정,퀀트조건식,9000351308a04d60bdce8c6ecb0f8b43,trading,condition_detected,expired;refreshed;registered,exact_candidate_id;fallback_symbol_time,2026-05-15 09:00:10,44050.0,43600.0,False,WAIT,Momentum decision is not BUY: WAIT_RECLAIM_VWAP below VWAP but flow is strong; wait for reclaim current=43600 vwap=44306,momentum,FINAL_MOMENTUM_WAIT_RECLAIM_VWAP,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":""PULLBACK_RECLAIM"",""final_reason"":""Momentum decision is not BUY: WAIT_RECLAIM_VWAP below VWAP but flow is strong; wait for reclaim current=43600 vwap=44306"",""legacy_decision"":{""reason"":""VWAP support/reclaim wait current=43600 vwap=44305.64"",""reason_code"":""SAFE_VWAP_SUPPORT_WAIT"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""WAIT_RECLAIM_VWAP"",""chase_risk_score"":83.82262996941895,""reason"":""below VWAP but flow is strong; wait for reclaim current=43600 vwap=44306"",""reason_code"":""WAIT_RECLAIM_VWAP""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":true,""trigger_price"":43829},""0.0080"":{""passes"":true,""trigger_price"":43697},""0.0100"":{""passes"":true,""trigger_price"":43609},""0.0150"":{""passes"":false,""trigger_price"":43389}},""pullback_pct"":0.01021566401816118,""reason_code"":""FINAL_MOMENTUM_WAIT_RECLAIM_VWAP"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,41100.0,-0.06696935300794549,47300.0,39650.0,0.07377979568671966,-0.09988649262202043,35.0,362.0,-0.014755959137343955,0.004540295119182858,0.026106696935300766,0.034052213393870545,1.3368068140630662,991505228.4251624,0.0,195.36,0.0011467889908256881,44305.64329548127,44900.0,candle,83.82262996941895,0.0,0.896551724137931,True,True,True,True,PULLBACK_RECLAIM,0.0,,,,,,,,,,ALLOW_ENTRY,condition_detected,,ok,True,MISSED_OPPORTUNITY
live,100790,미래에셋벤처투자,단테떡상이,퀀트조건식,33fe54a5e0644699801806edf38f46b1,analysis_only,condition_detected,expired;refreshed;registered,exact_candidate_id,2026-05-15 09:00:11,61800.0,60200.0,False,BLOCKED,Momentum decision is not BUY: REJECT trade strength weak 86.8 < 100.0,momentum,FINAL_MOMENTUM_REJECT_TRADE_STRENGTH,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: REJECT trade strength weak 86.8 < 100.0"",""legacy_decision"":{""reason"":""pullback too deep 5.05% > 3.00%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_TOO_DEEP"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""REJECT"",""chase_risk_score"":100.0,""reason"":""trade strength weak 86.8 < 100.0"",""reason_code"":""REJECT_TRADE_STRENGTH""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":true,""trigger_price"":61491},""0.0080"":{""passes"":true,""trigger_price"":61305},""0.0100"":{""passes"":true,""trigger_price"":61182},""0.0150"":{""passes"":true,""trigger_price"":60873}},""pullback_pct"":0.025889967637540454,""reason_code"":""FINAL_MOMENTUM_REJECT_TRADE_STRENGTH"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,54900.0,-0.11165048543689315,63400.0,52900.0,0.025889967637540368,-0.14401294498381878,0.0,363.0,-0.035598705501618144,-0.02588996763754048,-0.05987055016181231,-0.06634304207119746,0.4213508453065509,2650212528.0236197,0.0,86.83,0.0033222591362126247,61407.4387681057,63400.0,candle,100.0,0.0,0.6274509803921569,True,True,True,False,,0.0,,,,,,,,,,ALLOW_ENTRY,,,ok,False,GOOD_REJECT
live,100790,미래에셋벤처투자,단테떡상이_수정,퀀트조건식,33fe54a5e0644699801806edf38f46b1,trading,condition_detected,expired;refreshed;registered,exact_candidate_id;fallback_symbol_time,2026-05-15 09:00:11,61800.0,60200.0,False,BLOCKED,Momentum decision is not BUY: REJECT trade strength weak 86.8 < 100.0,momentum,FINAL_MOMENTUM_REJECT_TRADE_STRENGTH,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: REJECT trade strength weak 86.8 < 100.0"",""legacy_decision"":{""reason"":""pullback too deep 5.05% > 3.00%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_TOO_DEEP"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""REJECT"",""chase_risk_score"":100.0,""reason"":""trade strength weak 86.8 < 100.0"",""reason_code"":""REJECT_TRADE_STRENGTH""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":true,""trigger_price"":61491},""0.0080"":{""passes"":true,""trigger_price"":61305},""0.0100"":{""passes"":true,""trigger_price"":61182},""0.0150"":{""passes"":true,""trigger_price"":60873}},""pullback_pct"":0.025889967637540454,""reason_code"":""FINAL_MOMENTUM_REJECT_TRADE_STRENGTH"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,54900.0,-0.11165048543689315,63400.0,52900.0,0.025889967637540368,-0.14401294498381878,0.0,363.0,-0.035598705501618144,-0.02588996763754048,-0.05987055016181231,-0.06634304207119746,0.4213508453065509,2650212528.0236197,0.0,86.83,0.0033222591362126247,61407.4387681057,63400.0,candle,100.0,0.0,0.6274509803921569,True,True,True,False,,0.0,,,,,,,,,,ALLOW_ENTRY,condition_detected,,ok,False,GOOD_REJECT
live,018880,한온시스템,단테떡상이_수정,퀀트조건식,e77b43cd724e49609fc497e8e8064b47,trading,condition_detected,expired;refreshed;registered,exact_candidate_id;fallback_symbol_time,2026-05-15 09:00:22,5130.0,5040.0,False,,,,,{},,,,,,,,,,,,,,,,,,5050.0,-0.015594541910331383,5590.0,4950.0,0.08966861598440556,-0.03508771929824561,68.0,364.0,0.00974658869395717,0.025341130604288553,0.06822612085769975,0.04678362573099415,,,,,,5076.666666666667,,post_market_intraday,,,0.8666666666666667,True,True,,,,,,,,,,,,,,ALLOW_CANDIDATE_CAPTURE,condition_detected,,MISSING_DECISION_TRACE;MISSING_SPREAD_RATE;MISSING_TRADE_STRENGTH;MISSING_VOLUME_RATIO;partial_data,True,MISSED_OPPORTUNITY
live,034220,LG디스플레이,단테떡상이_수정,퀀트조건식,6c9eca294cd447b2aca5cb9c1dcc9202,trading,condition_detected,expired;refreshed;registered,exact_candidate_id,2026-05-15 09:00:25,15980.0,16450.0,False,BLOCKED,Momentum decision is not BUY: REJECT weak_volume_ratio 0.64 < 1.20 bucket=baseline_and,momentum,FINAL_MOMENTUM_WEAK_VOLUME_RATIO,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: REJECT weak_volume_ratio 0.64 < 1.20 bucket=baseline_and"",""legacy_decision"":{""reason"":""pullback shallow 1.26% < 1.50%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_SHALLOW"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""REJECT"",""chase_risk_score"":69.49108915003774,""reason"":""weak_volume_ratio 0.64 < 1.20 bucket=baseline_and"",""reason_code"":""WEAK_VOLUME_RATIO""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":false,""trigger_price"":15900},""0.0080"":{""passes"":false,""trigger_price"":15852},""0.0100"":{""passes"":false,""trigger_price"":15820},""0.0150"":{""passes"":false,""trigger_price"":15740}},""pullback_pct"":-0.029411764705882353,""reason_code"":""FINAL_MOMENTUM_WEAK_VOLUME_RATIO"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,14100.0,-0.11764705882352944,16800.0,13730.0,0.051314142678347885,-0.14080100125156447,19.0,363.0,0.017521902377972465,0.01001251564455563,0.020025031289111483,-0.006883604505632079,0.6408632201619975,2898392042.461461,0.0,130.21,0.00182370820668693,16243.18434493479,16660.0,candle,69.49108915003774,0.02941176470588225,0.21212121212121213,True,True,True,True,,0.0,,,,,,,,,,ALLOW_ENTRY,,,ok,True,MISSED_OPPORTUNITY
live,034220,LG디스플레이,단테떡상이,퀀트조건식,6c9eca294cd447b2aca5cb9c1dcc9202,trading,condition_detected,expired;refreshed;registered,exact_candidate_id;fallback_symbol_time,2026-05-15 09:00:25,15980.0,16450.0,False,BLOCKED,Momentum decision is not BUY: REJECT weak_volume_ratio 0.64 < 1.20 bucket=baseline_and,momentum,FINAL_MOMENTUM_WEAK_VOLUME_RATIO,"{""blocked_by"":""momentum"",""blocked_live_breakout_probe"":false,""entry_type"":"""",""final_reason"":""Momentum decision is not BUY: REJECT weak_volume_ratio 0.64 < 1.20 bucket=baseline_and"",""legacy_decision"":{""reason"":""pullback shallow 1.26% < 1.50%"",""reason_code"":""SAFE_PULLBACK_FROM_HIGH_SHALLOW"",""status"":""wait""},""legacy_filter_enabled"":true,""live_block_reason_code"":"""",""live_blocked_by"":"""",""momentum_decision"":{""action"":""REJECT"",""chase_risk_score"":69.49108915003774,""reason"":""weak_volume_ratio 0.64 < 1.20 bucket=baseline_and"",""reason_code"":""WEAK_VOLUME_RATIO""},""paper_only_breakout_probe"":false,""position_size_multiplier"":0.0,""prior_high_source"":""candle"",""pullback_dry_run"":{""0.0050"":{""passes"":false,""trigger_price"":15900},""0.0080"":{""passes"":false,""trigger_price"":15852},""0.0100"":{""passes"":false,""trigger_price"":15820},""0.0150"":{""passes"":false,""trigger_price"":15740}},""pullback_pct"":-0.029411764705882353,""reason_code"":""FINAL_MOMENTUM_WEAK_VOLUME_RATIO"",""strategy_version"":""quant_first_pullback_v1"",""turnover_rank_sector"":0}",,,,,,,,,,,,,,,,,,14100.0,-0.11764705882352944,16800.0,13730.0,0.051314142678347885,-0.14080100125156447,19.0,363.0,0.017521902377972465,0.01001251564455563,0.020025031289111483,-0.006883604505632079,0.6408632201619975,2898392042.461461,0.0,130.21,0.00182370820668693,16243.18434493479,16660.0,candle,69.49108915003774,0.02941176470588225,0.21212121212121213,True,True,True,True,,0.0,,,,,,,,,,ALLOW_ENTRY,condition_detected,,ok,True,MISSED_OPPORTUNITY
