symbol,symbol_name,detected_at,review_category,missed_opportunity,mfe_pct,mae_pct,return_to_close_pct,time_to_high_min,final_decision,reason_code,block_source,missed_reason_detail,recoverable,would_have_passed_if_time_policy_relaxed,would_have_passed_if_order_guard_relaxed,blocked_after_buy_ready,order_guard_rule,order_guard_recoverable,time_bucket,sector_name,primary_theme,theme_names
005930,삼성전자,2026-05-19 14:29:33,TIME_POLICY_BLOCK,True,27.15,26.55,26.55,8.0,BUY,closing_strength_paper_only,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,True,True,False,False,closing_strength_paper_only,False,14:20~close,전기/전자,반도체_생산,반도체_생산
078890,가온그룹,2026-05-19 09:03:24,TIME_POLICY_BLOCK,True,0.19019836639439913,-0.03850641773628938,0.12018669778296376,373.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,True,True,False,False,time_policy,False,09:00~09:30,전기/전자,셋톱박스,셋톱박스
243070,휴온스,2026-05-19 09:03:47,TIME_POLICY_BLOCK,True,0.14640883977900554,-0.048342541436464104,0.05524861878453047,180.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,True,True,False,False,time_policy,False,09:00~09:30,제약,,
142280,녹십자엠에스,2026-05-19 11:12:18,TIME_POLICY_BLOCK,True,0.13777777777777778,-0.0344444444444445,0.08000000000000007,63.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,True,True,False,False,time_policy,False,10:30~13:00,제약,,
900300,오가닉티코스메틱,2026-05-19 12:10:39,TIME_POLICY_BLOCK,True,0.1282051282051282,-0.06837606837606836,-0.042735042735042694,14.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,True,True,False,False,time_policy,False,10:30~13:00,,,
000370,한화손해보험,2026-05-19 09:06:20,TIME_POLICY_BLOCK,True,0.0789825970548863,-0.02008032128514059,0.024096385542168752,30.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,True,True,False,False,time_policy,False,09:00~09:30,보험,보험_손해보험,보험_손해보험
037270,YG PLUS,2026-05-19 14:42:55,TIME_POLICY_BLOCK,True,0.07575757575757569,-0.17045454545454541,-0.16193181818181823,1.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,True,True,False,False,time_policy,False,14:20~close,IT 서비스,,
052900,KX하이텍,2026-05-19 11:47:42,TIME_POLICY_BLOCK,False,0.04975728155339798,-0.03580097087378642,0.03033980582524265,164.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,False,False,False,False,time_policy,False,10:30~13:00,화학,,
046970,우리로,2026-05-19 09:06:36,TIME_POLICY_BLOCK,False,0.04460093896713624,-0.10093896713615025,-0.07981220657277,61.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,False,False,False,False,time_policy,False,09:00~09:30,유통,,
039980,폴라리스AI,2026-05-19 12:22:58,TIME_POLICY_BLOCK,False,0.03867403314917128,-0.11270718232044197,-0.08839779005524862,1.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,False,False,False,False,time_policy,False,10:30~13:00,IT 서비스,,
003280,흥아해운,2026-05-19 10:24:32,TIME_POLICY_BLOCK,False,0.029462738301559765,-0.14731369150779894,-0.11265164644714043,7.0,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_CANDIDATE_CAPTURE,False,False,False,False,time_policy,False,09:30~10:30,운송/창고,운송_해운,운송_해운
